batch_size;gradients;epochs;weight_decay;F1_Score;Evaluate_Test_accuracy;Evaluate_validate_accuracy;Evaluate_Trainning_accuracy
8;0;10;1,00E-05;0.9407407407407408;0.9428571428571428;0.9478571428571428;0.949047619047619
8;0;10;5,00E-05;0.9292168674698795;0.9328571428571428;0.9514285714285714;0.945
16;0;10;1,00E-05;0.9356984478935698;0.9378571428571428;0.9342857142857143;0.9407142857142857
16;0;10;5,00E-05;0.9092261904761905;0.912857142857;0.9242857142857143;0.939047619047619
32;0;10;1,00E-05;0.9103343465045592;0.9157142857142857;0.9164285714285715;0.914047619047619
32;0;10;5,00E-05;0.9119638826185101;0.9164285714285715;0.915;0.9152380952380952
64;0;10;1,00E-05;0.8936484490398818;0.8971428571428571;0.8921428571428571;0.8978571428571429
64;0;10;5,00E-05;0.8958333333333333;0.9;0.8892857142857142;0.9038095238095238
4;1;10;5,00E-05;0.9906542056074766;0.9907142857142858;0.9914285714285714;0.9938095238095238
8;1;10;5,00E-05;0.9957081545064378;0.9957142857142857;0.9907142857142858;0.9983333333333333
16;1;10;1,00E-05;0.9949820788530466;0.995;0.9935714285714285;0.9978571428571429
